e;prod;rw;U
929.6105139;405.3664664;386.1361091;7.53
929.8039846;404.639834;388.1357591;7.7
930.3183876;403.814883;390.5401129;7.47
931.4276874;404.2157732;393.9638172;7.27
932.6620056;405.0467136;396.7646909;7.37
933.5509397;404.4167387;400.0217016;7.13
933.5315262;402.8191274;400.7514987;7.4
933.0768794;401.9773347;405.7334737;8.33
932.1237532;402.0897249;409.0503863;8.83
930.6359391;401.3066884;411.3983777;10.43
929.0970599;401.6301713;413.0194215;12.2
928.5633356;401.5637546;415.1669629;12.77
929.0693801;402.8156989;414.6620707;12.43
930.2655161;403.1421076;415.7319361;12.23
931.6770316;403.0786192;416.2314689;11.7
932.1389676;403.7187857;418.1439269;11.2
932.2766865;404.866799;419.7352312;11.27
932.8327831;405.6361867;420.4841862;11.47
933.7334191;405.1362854;420.9308814;11.3
934.1772062;406.0246399;422.1124045;11.17
934.5928398;406.4122697;423.6278058;11
935.6067098;406.3009326;423.9886868;10.63
936.511086;406.3353517;424.1902127;10.27
937.4200901;406.7736953;426.1270434;10.2
938.4159216;405.1525476;426.8577942;9.67
938.99917;404.9298308;426.745718;9.6
939.2353548;404.5765464;426.8857937;9.6
939.6795042;404.1994926;428.8402533;9.5
940.2496741;405.9498562;430.1223221;9.5
941.4358187;405.822092;430.2306792;9.03
942.298096;406.4462825;430.3929949;8.7
943.5322233;407.0512475;432.0284201;8.13
944.3489698;407.946024;433.3886259;7.87
944.8214888;408.1795847;433.9640918;7.67
945.0671369;408.5998127;434.4843844;7.8
945.8067262;409.0905607;436.1568793;7.73
946.8696615;408.7042151;438.2651439;7.57
946.8766121;408.9802752;438.7635873;7.57
947.2496923;408.32869;439.9498116;7.33
947.6512761;407.8856966;441.8358564;7.57
948.1839707;407.2605322;443.1768727;7.63
948.3492393;406.7751508;444.359199;7.6
948.0321707;406.1794136;444.5236148;8.17
947.1064831;405.4397933;446.9694046;9.2
946.0795542;403.2799708;450.158587;10.17
946.1838117;403.364856;451.5464273;10.33
946.2257952;403.3806804;452.2983515;10.4
945.9977839;404.0031828;453.1200666;10.37
945.5182791;404.4773984;453.999146;10.6
945.3513976;404.7867828;454.9551762;11
945.2917855;405.2710039;455.4823812;11.4
945.4007859;405.3829931;456.100929;11.73
945.9058098;405.156416;457.2026967;11.07
945.9034704;406.4700431;457.3885896;11.67
946.3190287;406.229309;457.7798989;11.47
946.5796213;406.7264839;457.5535381;11.3
946.7800322;408.5785049;458.8024027;10.97
947.6282842;409.6767101;459.0564034;10.63
948.6220576;410.3857633;459.1578232;10.1
949.3991832;410.5395237;459.7037203;9.67
949.948138;410.4452583;459.7037203;9.53
949.7944941;410.6256053;460.0258142;9.47
949.9533802;410.8672397;461.0257225;9.5
950.2502394;411.2359178;461.3039144;9.27
950.5380309;410.6636553;461.4030814;9.5
950.7871285;410.8085084;462.9277261;9.43
950.8695286;412.1159615;464.6887779;9.7
950.9281325;412.9994071;465.0717001;9.9
951.8457225;412.9550568;464.2851253;9.43
952.6004762;412.8241331;464.0344261;9.3
953.5975528;413.0488749;463.4534795;8.87
954.1433883;413.6110179;465.0717001;8.77
954.5425933;413.6047819;466.0888675;8.6
955.2631361;412.9683882;466.6171208;8.33
956.0560529;412.2658865;465.7477966;8.17
956.7965864;412.9105941;465.8995273;8.03
957.3864805;413.8294164;466.4099254;7.9
958.0634157;414.2241521;466.9552445;7.87
958.7165922;415.1677708;467.6280813;7.53
959.4881424;415.7015802;467.7025623;6.93
960.3624931;416.8674071;469.1347882;6.8
960.783379;417.6103991;469.3364197;6.7
961.0290299;418.0029805;470.0116663;6.93
961.7657098;417.2666802;469.6472344;6.87
